,nome,genero
248,Rosario Dawson,F
249,Juliette Lewis,F
250,Claire Danes,F
251,Florence Pugh,F
252,Julia Ormond,F
253,Wendy Crewson,F
254,Olivia Cooke,F
255,Hilary Swank,F
256,Anne Dorval,F
257,Angelina Jolie,F
258,Hailee Steinfeld,F
259,Noémie Merlant,F
260,Daveigh Chase,F
261,Bérénice Bejo,F
262,Michelle Pfeiffer,F
263,Sofia Coppola,F
264,Jessica Lange,F
265,Octavia Spencer,F
266,Mariel Hemingway,F
267,Lana Wachowski,F
268,Cameron Diaz,F
269,Gillian Anderson,F
270,Marisa Paredes,F
271,Radha Mitchell,F
272,Audrey Tautou,F
273,Emily Watson,F
274,Linda Cardellini,F
275,Barbara Hershey,F
276,Nastassja Kinski,F
277,Helen Hunt,F
278,Sarah Jessica Parker,F
279,Shailene Woodley,F
280,Kaitlyn Dever,F
281,Fernanda Montenegro,F
282,Julia Stiles,F
283,Christina Hendricks,F
284,Naomi Watts,F
285,Sonam Kapoor,F
286,Sara Takatsuki,F
287,Mackenzie Foy,F
288,Rosamund Pike,F
289,Taraji P. Henson,F
290,Bulle Ogier,F
291,Brenda Blethyn,F
292,Sally Field,F
293,Sidse Babett Knudsen,F
294,Gwyneth Paltrow,F
295,Linda Hamilton,F
296,Elizabeth Banks,F
297,Jane Fonda,F
298,Franka Potente,F
299,Nathan Fillion,M
300,Simon Pegg,M
301,Steve Carell,M
302,Adrien Brody,M
303,Paul McGuigan,M
304,Joe Wright,M
305,Brendan Gleeson,M
306,Kenneth Lonergan,M
307,James McTeigue,M
308,Ewen Bremner,M
309,Eric Bress,M
310,Matthew Vaughn,M
311,Frank Miller,M
312,Joaquin Phoenix,M
313,Hirokazu Koreeda,M
314,Dave Goelz,M
315,Martin Freeman,M
316,Orlando Bloom,M
317,Daniel Craig,M
318,Hiroyuki Okiura,M
319,Seung-Yun Lee,M
320,Je-kyu Kang,M
321,Don Cheadle,M
322,Troy Duffy,M
323,Jake Gyllenhaal,M
324,Pierre Morel,M
325,Gérard Jugnot,M
326,Spike Jonze,M
327,Charlie Kaufman,M
328,Dennis Gansel,M
329,Christophe Barratier,M
330,Viggo Mortensen,M
331,Diego Luna,M
332,Eli Marienthal,M
333,Brad Bird,M
334,Gael García Bernal,M
335,Anurag Kashyap,M
336,Kay Kay Menon,M
337,Jude Law,M
338,Max Riemelt,M
339,Rob Minkoff,M
340,Zack Snyder,M
341,Michael Nyqvist,M
342,Craig Bierko,M
343,Sam Mendes,M
344,Adam McKay,M
345,John Cho,M
346,Jang Dong-Gun,M
347,Terry George,M
348,Heath Ledger,M
349,Aditya Chopra,M
350,Gavin O'Connor,M
351,Guy Pearce,M
352,Yash Chopra,M
353,Ron Livingston,M
354,Brady Corbet,M
355,Akio Ôtsuka,M
356,Edgar Wright,M
357,Joseph Gordon-Levitt,M
358,Paul Haggis,M
359,Fernando Meirelles,M
360,Alexandre Rodrigues,M
361,Dean DeBlois,M
362,Chris Sanders,M
363,Patrick Wilson,M
364,Pete Docter,M
365,Ryan Reynolds,M
366,Eli Roth,M
367,Sanjay Leela Bhansali,M
368,Andrew Lau,M
369,Cillian Murphy,M
370,Alan Mak,M
371,Vin Diesel,M
372,Chiwetel Ejiofor,M
373,Daniel Radcliffe,M
374,Hrithik Roshan,M
375,Steve Coogan,M
376,Paddy Considine,M
377,Jeremy Renner,M
378,Peter Mullan,M
379,Charlie Hunnam,M
380,Casey Affleck,M
381,Kang-ho Song,M
382,Richard Kelly,M
383,Andrew Adamson,M
384,Alex Garland,M
385,Ashutosh Gowariker,M
386,Stephen Chow,M
387,Tom Wilkinson,M
388,Aamir Khan,M
389,Ryan Gosling,M
390,Farhan Akhtar,M
391,John Cameron Mitchell,M
392,Oliver Hirschbiegel,M
393,Moritz Bleibtreu,M
394,Brad Anderson,M
395,Danis Tanovic,M
396,Branko Djuric,M
397,Steve Zahn,M
398,Tim Blake Nelson,M
399,Michel Gondry,M
400,Naseeruddin Shah,M
401,Brian Cox,M
402,Hector Elizondo,M
403,Marc Forster,M
404,Haley Joel Osment,M
405,David Ayer,M
406,Jacques Audiard,M
407,Josh Hartnett,M
408,James Gunn,M
409,Denis Villeneuve,M
410,Michael Haneke,M
