Series_Title,Released_Year,Country
Eastern Promises,2007,UK
Stardust,2007,UK
The Secret of Kells,2009,Ireland
Inside Man,2006,USA
Gone Baby Gone,2007,USA
La Vie En Rose,2007,France
Huo Yuan Jia,2006,China
The Illusionist,2006,USA
Dead Man's Shoes,2004,UK
Harry Potter and the Half-Blood Prince,2009,UK
300,2006,USA
Match Point,2005,UK
Watchmen,2009,USA
Lord of War,2005,USA
Saw,2004,USA
"Synecdoche, New York",2008,USA
Mysterious Skin,2004,USA
Jeux d'enfants,2003,France
Un long dimanche de fiançailles,2004,France
The Station Agent,2003,USA
21 Grams,2003,USA
Boksuneun naui geot,2002,South Korea
Finding Neverland,2004,UK
25th Hour,2002,USA
The Butterfly Effect,2004,USA
28 Days Later...,2002,UK
Batoru rowaiaru,2000,Japan
The Royal Tenenbaums,2001,USA
Y tu mamá también,2001,Mexico
Harry Potter and the Sorcerer's Stone,2001,UK
The Others,2001,Spain
Blow,2001,USA
Enemy at the Gates,2001,USA
Minority Report,2002,USA
The Hurricane,1999,USA
American Psycho,2000,USA
Lola rennt,1998,Germany
The Thin Red Line,1998,USA
Mulan,1998,USA
Fear and Loathing in Las Vegas,1998,USA
Funny Games,1997,Austria
Dark City,1998,USA
Sleepers,1996,USA
Lost Highway,1997,France
Sense and Sensibility,1995,UK
Die Hard: With a Vengeance,1995,USA
Dead Man,1995,USA
The Bridges of Madison County,1995,USA
Apollo 13,PG,USA
Trois couleurs: Blanc,1994,France
Falling Down,1993,USA
Dazed and Confused,1993,USA
My Cousin Vinny,1992,USA
Omohide poro poro,1991,Japan
Delicatessen,1991,France
Home Alone,1990,USA
The Godfather: Part III,1990,USA
When Harry Met Sally...,1989,USA
The Little Mermaid,1989,USA
The Naked Gun: From the Files of Police Squad!,1988,USA
"Planes, Trains & Automobiles",1987,USA
Lethal Weapon,1987,USA
Blood Simple,1984,USA
On Golden Pond,1981,USA
Mad Max 2,1981,Australia
The Warriors,1979,USA
The Muppet Movie,1979,USA
Escape from Alcatraz,1979,USA
Watership Down,1978,UK
Midnight Express,1978,USA
Close Encounters of the Third Kind,1977,USA
The Long Goodbye,1973,USA
Giù la testa,1971,Italy
Kelly's Heroes,1970,USA
The Jungle Book,1967,USA
Blowup,1966,UK
A Hard Day's Night,1964,UK
Breakfast at Tiffany's,1961,USA
Giant,1956,USA
From Here to Eternity,1953,USA
Lifeboat,1944,USA
The 39 Steps,1935,UK
